id_review,review_text,relative_date,review_date,retrieval_date,rating,username,n_review_user,url_place,name_place
Ci9DQUlRQUNvZENodHljRjlvT25WWFNHZFdhbFpmYkZGMlV6bDZhVmxoVEVGWVZHYxAB,,Hace 4 días,2025-08-02 09:25:59.442137,2025-08-06 09:25:59.442137,5,Alberto Quispe,0,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
Ci9DQUlRQUNvZENodHljRjlvT2tOdlNYSlVTV2h1U2xwWFdVOTRPV056YTA5VFVXYxAB,Buena universidad aunque con lo de la beca 18 se ha llenado de mucho chiquillo que todavía cree que está en su cono.  Hace tiempo digo que esa beca debería desaparecer porque no focaliza bien a los chicos que de verdad se esfuerzan,Hace 6 días,2025-07-31 09:25:59.442658,2025-08-06 09:25:59.442658,3,Mylene Caila,0,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
Ci9DQUlRQUNvZENodHljRjlvT25Rd1kyZDRVWFo1ZUhkUlRuWjNWRmRLUmxSRFRXYxAB,,Hace 6 días,2025-07-31 09:25:59.443150,2025-08-06 09:25:59.443150,5,Eddy Guevara rubio,9,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
Ci9DQUlRQUNvZENodHljRjlvT21sa1ZGSjNSbFUyVTNOdWNXTmhPVXR2YUhSd1pFRRAB,Excelente infraestructura,3 semanas atrás,2025-07-16 09:25:59.443702,2025-08-06 09:25:59.443702,5,Guillermo Maura,277,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
Ci9DQUlRQUNvZENodHljRjlvT2tKRWNsWXlVM1k0TW5wRlpFRlVRbVZWVDJjeFdIYxAB,Buena universidad de negocios,4 semanas atrás,2025-07-09 09:25:59.444359,2025-08-06 09:25:59.444359,5,Martin Eduardo Galvez,348,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
Ci9DQUlRQUNvZENodHljRjlvT21Sb01raFhTVmxCV1RWRmQxYzFWMVZrVTFrellWRRAB,"Excelentes instalaciones!! Los accesos son muy cómodos y fáciles, los guardas son muy amables y prestos a ayudar a los transeúntes para cruzar la calle y lo que se necesite. El grado de preparación y conocimiento de los profesores es muy alto, siendo muy amables a la vez.",Hace un mes,2025-07-07 09:25:59.445038,2025-08-06 09:25:59.445038,5,José Armando Deaza Avila,104,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
Ci9DQUlRQUNvZENodHljRjlvT25SVmRIazBVbGQzTms1M05DMHlWVTVGUW0xVVJFRRAB,Atentos agradable ambiente Y las mensualidad es favorable,Hace un mes,2025-07-07 09:25:59.445456,2025-08-06 09:25:59.445456,4,Eduardo Fernando Llaro Espinoza,16,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
ChdDSUhNMG9nS0VJQ0FnTUNBdy1LZ2xRRRAB,,Editado Hace un mes,2025-07-07 09:25:59.445868,2025-08-06 09:25:59.445868,4,Henryk Oré,0,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
ChdDSUhNMG9nS0VMN1I0cW1Za3ZhUmdnRRAB,,Hace 2 meses,2025-06-07 09:25:59.446533,2025-08-06 09:25:59.446533,5,Jean Carlos,1,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
ChdDSUhNMG9nS0VNbU9rdWJkbXZ1VXdRRRAB,,Hace 2 meses,2025-06-07 09:25:59.447180,2025-08-06 09:25:59.447180,4,Victor Morgan,5,"https://www.google.com/maps/place/Universidad+del+Pac%C3%ADfico/@-12.0835487,-77.0511725,17z/data=!4m10!1m2!2m1!1suniversidad+del+pac%C3%ADfico!3m6!1s0x9105c8f8e3ad6bf9:0x2f894cba5bc36a45!8m2!3d-12.0837969!4d-77.048806!15sChl1bml2ZXJzaWRhZCBkZWwgcGFjw61maWNvkgEScHJpdmF0ZV91bml2ZXJzaXR5qgFMCgkvbS8wNmdqODQQATIeEAEiGr_QCcNbfMneMbwvgklMis1SdwU5f-FeivSdMh0QAiIZdW5pdmVyc2lkYWQgZGVsIHBhY8OtZmljb-ABAA!16zL20vMDZnajg0?entry=ttu&g_ep=EgoyMDI1MDgwMy4wIKXMDSoASAFQAw%3D%3D",Universidad del Pacífico
